metric,pct_threshold,abs_threshold,drop_count,lift_count,trigger_count
day_over_day_pct_change,10,10,239,276,515
day_over_day_pct_change,10,20,147,160,307
day_over_day_pct_change,10,30,95,85,180
day_over_day_pct_change,10,40,48,42,90
day_over_day_pct_change,10,50,28,19,47
day_over_day_pct_change,15,10,181,219,400
day_over_day_pct_change,15,20,117,132,249
day_over_day_pct_change,15,30,90,83,173
day_over_day_pct_change,15,40,48,42,90
day_over_day_pct_change,15,50,28,19,47
day_over_day_pct_change,20,10,132,168,300
day_over_day_pct_change,20,20,90,108,198
day_over_day_pct_change,20,30,69,72,141
day_over_day_pct_change,20,40,42,42,84
day_over_day_pct_change,20,50,27,19,46
day_over_day_pct_change,25,10,86,111,197
day_over_day_pct_change,25,20,57,71,128
day_over_day_pct_change,25,30,45,43,88
day_over_day_pct_change,25,40,21,32,53
day_over_day_pct_change,25,50,17,18,35
day_over_day_pct_change,30,10,35,75,110
day_over_day_pct_change,30,20,23,45,68
day_over_day_pct_change,30,30,18,31,49
day_over_day_pct_change,30,40,6,21,27
day_over_day_pct_change,30,50,3,16,19
trailing_7d_pct_change,10,10,201,257,458
trailing_7d_pct_change,10,20,100,158,258
trailing_7d_pct_change,10,30,37,82,119
trailing_7d_pct_change,10,40,6,40,46
trailing_7d_pct_change,10,50,0,16,16
trailing_7d_pct_change,15,10,120,202,322
trailing_7d_pct_change,15,20,56,127,183
trailing_7d_pct_change,15,30,37,81,118
trailing_7d_pct_change,15,40,6,40,46
trailing_7d_pct_change,15,50,0,16,16
trailing_7d_pct_change,20,10,42,146,188
trailing_7d_pct_change,20,20,24,95,119
trailing_7d_pct_change,20,30,10,60,70
trailing_7d_pct_change,20,40,6,40,46
trailing_7d_pct_change,20,50,0,16,16
trailing_7d_pct_change,25,10,17,101,118
trailing_7d_pct_change,25,20,11,67,78
trailing_7d_pct_change,25,30,0,37,37
trailing_7d_pct_change,25,40,0,22,22
trailing_7d_pct_change,25,50,0,15,15
trailing_7d_pct_change,30,10,5,72,77
trailing_7d_pct_change,30,20,3,44,47
trailing_7d_pct_change,30,30,0,28,28
trailing_7d_pct_change,30,40,0,13,13
trailing_7d_pct_change,30,50,0,12,12
same_weekday_4w_pct_change,10,10,54,200,254
same_weekday_4w_pct_change,10,20,30,109,139
same_weekday_4w_pct_change,10,30,12,43,55
same_weekday_4w_pct_change,10,40,4,11,15
same_weekday_4w_pct_change,10,50,0,6,6
same_weekday_4w_pct_change,15,10,26,141,167
same_weekday_4w_pct_change,15,20,18,75,93
same_weekday_4w_pct_change,15,30,11,43,54
same_weekday_4w_pct_change,15,40,4,11,15
same_weekday_4w_pct_change,15,50,0,6,6
same_weekday_4w_pct_change,20,10,10,86,96
same_weekday_4w_pct_change,20,20,7,45,52
same_weekday_4w_pct_change,20,30,4,24,28
same_weekday_4w_pct_change,20,40,1,11,12
same_weekday_4w_pct_change,20,50,0,6,6
same_weekday_4w_pct_change,25,10,3,55,58
same_weekday_4w_pct_change,25,20,2,30,32
same_weekday_4w_pct_change,25,30,1,14,15
same_weekday_4w_pct_change,25,40,0,7,7
same_weekday_4w_pct_change,25,50,0,5,5
same_weekday_4w_pct_change,30,10,2,38,40
same_weekday_4w_pct_change,30,20,1,20,21
same_weekday_4w_pct_change,30,30,1,10,11
same_weekday_4w_pct_change,30,40,0,3,3
same_weekday_4w_pct_change,30,50,0,2,2
