store_alias,avg_sales,sales_std,day_over_day_pct_std,trailing_7d_pct_std,same_weekday_4w_pct_std
h235,194.56144444444442,30.358084481662466,17.762144806849577,15.071235911799537,9.95698793624727
h263,193.42011111111108,28.229828335515684,14.61285728302145,12.9308841470472,9.314696145262735
h182,191.88711111111112,30.507244608174975,17.263497651022682,16.011749173182423,10.87751585203925
h018,187.53655555555557,25.84729547763392,12.506868690201737,11.021493836562032,8.65077177547647
h555,174.3719888888889,21.293198013193994,14.57768493282885,12.040228037867038,10.584612081391493
m679,85.3398888888889,13.451143762775025,17.7332557113109,15.339359999058798,12.140969721435622
m648,84.99177777777778,14.511276326506215,18.83603187493953,16.049696845989306,13.009000274408963
m041,84.40755555555556,20.50569048513509,27.007963038406487,23.577919901185084,16.519163561499596
m236,82.96944444444445,15.44982035902335,19.444097332283505,17.625400992463973,11.273815592432488
m386,82.85766666666669,14.852191156015717,13.110022317688482,11.11794612595285,10.962785798884278
l260,39.28344444444444,7.053516480739937,16.376543056751913,14.916874711493996,13.591338484586945
l185,37.586555555555556,7.97450278977128,22.319593783807445,21.003342622993433,15.77771835017765
l165,36.876555555555555,7.501932209697804,21.61647793669322,18.673600977620122,13.295122231412218
l164,35.50177777777777,6.5589884424554885,17.695473697890623,14.312344282462787,13.156362436108898
l175,34.27688888888889,5.538980485520443,16.807634250058097,13.71965957932729,12.163346992722047
